"","x","y","z"
"1",5.5,1405.5,1.67964136600494
"2",105.5,1405.5,1.78988862037659
"3",205.5,1405.5,1.72819256782532
"4",305.5,1405.5,1.67521417140961
"5",405.5,1405.5,1.58902478218079
"6",505.5,1405.5,1.56164765357971
"7",605.5,1405.5,1.64294004440308
"8",705.5,1405.5,1.64086055755615
"9",805.5,1405.5,1.77636229991913
"10",905.5,1405.5,1.74199223518372
"11",1005.5,1405.5,1.70584321022034
"12",1105.5,1405.5,1.68775367736816
"13",1205.5,1405.5,1.70699763298035
"14",1305.5,1405.5,1.7466139793396
"15",5.5,1305.5,1.73928022384644
"16",105.5,1305.5,1.79453551769257
"17",205.5,1305.5,1.79521632194519
"18",305.5,1305.5,1.68458592891693
"19",405.5,1305.5,1.58506512641907
"20",505.5,1305.5,1.56654167175293
"21",605.5,1305.5,1.6595276594162
"22",705.5,1305.5,1.70909643173218
"23",805.5,1305.5,1.76340055465698
"24",905.5,1305.5,1.77605283260345
"25",1005.5,1305.5,1.76191508769989
"26",1105.5,1305.5,1.66645991802216
"27",1205.5,1305.5,1.66012215614319
"28",1305.5,1305.5,1.79008889198303
"29",5.5,1205.5,1.70409464836121
"30",105.5,1205.5,1.78949153423309
"31",205.5,1205.5,1.79927134513855
"32",305.5,1205.5,1.69602692127228
"33",405.5,1205.5,1.65065217018127
"34",505.5,1205.5,1.67010772228241
"35",605.5,1205.5,1.7265796661377
"36",705.5,1205.5,1.72531151771545
"37",805.5,1205.5,1.7597314119339
"38",905.5,1205.5,1.7161922454834
"39",1005.5,1205.5,1.70378744602203
"40",1105.5,1205.5,1.65732574462891
"41",1205.5,1205.5,1.67593145370483
"42",1305.5,1205.5,1.72489178180695
"43",5.5,1105.5,1.74209475517273
"44",105.5,1105.5,1.72488152980804
"45",205.5,1105.5,1.69468510150909
"46",305.5,1105.5,1.71140146255493
"47",405.5,1105.5,1.65194869041443
"48",505.5,1105.5,1.72516644001007
"49",605.5,1105.5,1.72662711143494
"50",705.5,1105.5,1.72397112846375
"51",805.5,1105.5,1.69009220600128
"52",905.5,1105.5,1.67348420619965
"53",1005.5,1105.5,1.65610861778259
"54",1105.5,1105.5,1.58674001693726
"55",1205.5,1105.5,1.63290226459503
"56",1305.5,1105.5,1.6924968957901
"57",5.5,1005.5,1.68398404121399
"58",105.5,1005.5,1.71892416477203
"59",205.5,1005.5,1.71458160877228
"60",305.5,1005.5,1.68762958049774
"61",405.5,1005.5,1.69518852233887
"62",505.5,1005.5,1.6811192035675
